Região Administrativa;Total da população de 15 anos ou mais;Não alfabetizada;Taxa de Analfabetismo (%)
I Portuária;29960;2545;8.5
II Centro;33521;1029;3.1
III Rio Comprido;57959;2660;4.6
IV Botafogo;205177;3212;1.6
V Copacabana;142985;2209;1.5
VI Lagoa;148106;2745;1.9
VII São Cristóvão;54922;2858;5.2
VIII Tijuca;151509;3264;2.2
IX Vila Isabel;153305;3654;2.4
X Ramos;117507;5350;4.6
XI Penha;243763;11509;4.7
XII Inhaúma;102504;3693;3.6
XIII Méier;321184;9500;3
XIV Irajá;160441;4518;2.8
XV Madureira;291025;9852;3.4
XVI Jacarepaguá;360033;17852;5
XVII Bangu;314318;16305;5.2
XVIII Campo Grande;355915;17315;4.9
XIX Santa Cruz;219983;14660;6.7
XX IIha do Governador;165626;7138;4.3
XXI Paquetá;2763;190;6.9
XXII Anchieta;116669;4502;3.9
XXIII SantaTeresa;32426;1307;4
XXIV Barra da Tijuca;136921;5311;3.9
XXV Pavuna;144228;8267;5.7
XXVI Guaratiba;71634;6940;9.7
XXVII Rocinha;40121;5273;13.1
XXVIII Jacarezinho;26426;2526;9.6
XXIX Complexo do Alemão;45313;5675;12.5
XXX Maré;80240;9171;11.4
XXXIII Realengo;180642;7083;3.9
XXXIV Cidade de Deus;27196;1799;6.6
