Região Administrativa;Total da população de 15 anos ou mais;Não alfabetizada;Taxa de Analfabetismo (%)
I Portuária;37497;1819;4.9
II Centro;36780;576;1.6
III Rio Comprido;63370;2314;3.7
IV Botafogo;212557;1985;0.9
V Copacabana;145721;1596;1.1
VI Lagoa;146125;1399;1
VII São Cristóvão;67420;3456;5.1
VIII Tijuca;157520;2271;1.4
IX Vila Isabel;161810;3260;2
X Ramos;122868;3861;3.1
XI Penha;150891;3923;2.6
XII Inhaúma;333215;5881;1.8
XIII Méier;167557;3117;1.9
XIV Irajá;301127;6308;2.1
XV Madureira;459110;15340;3.3
XVI Jacarepaguá;337392;11393;3.4
XVII Bangu;423013;12888;3
XVIII Campo Grande;275010;12312;4.5
XIX Santa Cruz;173596;4895;2.8
XX IIha do Governador;2760;126;4.6
XXI Paquetá;125509;2705;2.2
XXII Anchieta;33893;697;2.1
XXIII SantaTeresa;245773;5348;2.2
XXIV Barra da Tijuca;158489;6452;4.1
XXV Pavuna;92203;5308;5.8
XXVI Guaratiba;107727;2536;2.4
XXVII Rocinha;52195;3503;6.7
XXVIII Jacarezinho;28713;1375;4.8
XXIX Complexo do Alemão;51131;3553;6.9
XXX Maré;96422;7440;7.7
XXXI Vigário Geral;106983;3640;3.4
XXXIII Realengo;192403;5066;2.6
XXXIV Cidade de Deus;27308;1208;4.4
